Ticks,Ax,Ay,Az
886762,-0.6720391,-0.8400489,0.8664225
886971,-0.3291819,-1.643956,0.6368742
887171,-1.107692,-1.134066,0.6417583
887372,-1.006105,-0.4981685,0.4639805
887572,-1.414408,0.1377289,-0.04981685
887772,-0.7492064,-0.7960928,0.6612943
887994,-0.5870574,-1.45641,0.4258852
888194,-1.367521,-1.188767,0.3838828
888394,-1.320635,-0.1943834,0.02344322
888594,-1.043224,-0.918193,0.2598291
888795,-0.9748474,-0.9211234,0.7296703
889010,-0.4659341,-1.878388,1.465201
889211,-1.110623,-0.7365079,0.171917
889411,-1.097924,0.02246642,0.6124542
889611,-0.9533578,-0.9748474,0.9191697
889812,-0.9738705,-1.147741,0.5372406
890018,-0.9455433,-0.9240538,0.7892552
890218,-1.0442,-0.3614164,0.2666667
890419,-1.037363,0.1582418,0.4200244
890620,-0.8126985,-0.7335775,0.7032967
890820,-1.100855,-1.319658,0.7736264
891029,-1.073504,-1.120391,0.8605617
891230,-1.362637,-0.5098901,0.3887668
891431,-1.06276,0.2754579,0.5255189
891631,-0.8351649,-0.7013431,0.628083
891832,-0.8429792,-1.494506,1.043224
892042,-1.1663,-1.027595,0.4405373
892242,-1.332357,-0.5196581,0.3545788
892443,-1.581441,0.05567766,0.03223443
892643,-0.6534799,-0.8547009,0.6241758
892843,-0.4630037,-1.611722,0.5177045
893052,-1.232723,-0.9992674,0.4503053
893252,-1.128205,-0.3311355,0.5059829
893452,-1.147741,0.02930403,-0.1240537
893652,-0.4239316,-0.7716728,0.7697192
893852,-0.5108669,-1.441758,0.6710623
894059,-1.13602,-1.073504,0.3409035
894259,-1.14188,-0.3272283,0.4551893
894459,-1.391941,-0.7824176,-0.07912088
894660,-0.6349206,-0.9611722,0.8527472
894860,-1.012943,-1.723077,0.8947497
895070,-1.254212,-0.7159951,0.2598291
895271,-0.9113554,0.2432235,0.426862
895471,-1.330403,-1.069597,0.1347985
895671,-0.7286935,-1.014896,1.066667
895872,-0.579243,-1.852015,1.221978
896099,-1.13602,-0.4932845,0.1894994
896299,-0.9260074,-0.2295482,0.632967
896499,-0.8947497,-0.8488401,0.4405373
896699,-1.165324,-1.259097,0.5782662
896899,-0.6241758,-1.553114,0.9328449
897113,-1.128205,-0.5684982,0.2695971
897313,-1.130159,0.08888889,0.4903541
897513,-0.6368742,-0.7550672,0.6368742
897713,-1.003175,-1.178999,0.7091575
897913,-0.9601954,-0.7843712,0.7413919
898132,-1.206349,-0.6026862,0.3760684
898332,-1.561905,0.01758242,-0.2324786
898532,-0.5655678,-0.5089133,0.5313797
898733,-0.574359,-1.690842,0.6368742
898933,-1.199512,-0.962149,0.4356533
899146,-1.012943,-0.3213675,0.3399267
899346,-1.462271,-0.3340659,-0.2959707
899546,-0.8488401,-0.6661783,0.6573871
899747,-0.5137973,-1.709402,0.6300366
899947,-1.483761,-1.102808,0.3457875
900158,-1.217094,-0.2852259,0.3721612
900358,-1.482784,-0.7726496,-0.3067155
900558,-0.9689866,-0.9611722,0.569475
900758,-0.4727716,-1.120391,0.9318682
900958,-1.553114,-1.244444,0.215873
901175,-1.1116,-0.1084249,0.5655678
901376,-1.14188,-0.6358974,0.4385837
901577,-0.8263736,-1.050061,0.8664225
901777,-0.6525031,-1.790476,0.9240538
901977,-1.303053,-1.000244,0.1699634
902193,-0.9543346,-0.1103785,0.2862027
902393,-1.132112,-0.9250305,0.4327229
902593,-0.9543346,-0.8771673,0.8205129
902793,-0.6065934,-1.50525,1.21221
902994,-1.207326,-0.8761905,0.04688645
903217,-1.086203,-0.1084249,0.3565324
903418,-0.7159951,-0.8566545,0.589011
903618,-1.191697,-1.189744,0.4884005
903818,-0.9269841,-1.271795,0.8634921
