Ticks,Tics,TicDelta,Ax-1,Ay-1,Az-1,Ax,Ay,Az,Distance,DistanceDelta,Ax-avg,Ay-avg,Az-avg,DistanceDelta-avg,Ax-avgN,Ay-avgN,Az-avgN,A-mag,DistanceDelta-1
838826,16854,200,-0.9533578,-1.255189,1.211233,-1.406593,-1.028571,0.2910867,21.7931,0.2182,-1.20263736,-0.77108656,0.43623928,0.22262,0.0179732,0.04297926,-0.11213676,1.766690023,0.2182
839026,17054,200,-1.406593,-1.028571,0.2910867,-1.11746,-0.2744811,0.3057387,22.0114,0.2183,-1.22158716,-0.81543334,0.45655674,0.22242,-0.0189498,-0.04434678,0.02031746,1.190601898,0.2182
839245,17273,219,-1.11746,-0.2744811,0.3057387,-1.40464,-0.6271062,-0.3174603,22.2504,0.239,-1.2923076,-0.82695974,0.44561654,0.22248,-0.07072044,-0.0115264,-0.0109402,1.570686715,0.2183
839445,17473,200,-1.40464,-0.6271062,-0.3174603,-1.225885,-0.8918194,0.7921856,22.4688,0.2184,-1.275702,-0.81015886,0.44170934,0.22274,0.0166056,0.01680088,-0.0039072,1.710465989,0.239
839645,17673,200,-1.225885,-0.8918194,0.7921856,-1.30696,-1.312821,1.156532,22.6873,0.2185,-1.2866422,-0.758974484,0.43194134,0.223,-0.0109402,0.051184376,-0.009768,2.183852029,0.2184
839846,17874,201,-1.30696,-1.312821,1.156532,-1.323565,-0.9445666,0.2715507,22.9068,0.2195,-1.3136018,-0.799804764,0.63980458,0.22216,-0.0269596,-0.04083028,0.20786324,1.64856609,0.2185
840047,18075,201,-1.323565,-0.9445666,0.2715507,-1.172161,-0.01855922,0.2568987,23.1264,0.2196,-1.2899632,-0.768742464,0.6190964,0.2223,0.0236386,0.0310623,-0.02070818,1.200126159,0.2195
840262,18290,215,-1.172161,-0.01855922,0.2568987,-1.539438,-0.8312576,0.7218559,23.3612,0.2348,-1.2122098,-0.761904864,0.6964592,0.22242,0.0777534,0.0068376,0.0773628,1.89259993,0.2196
840462,18490,200,-1.539438,-0.8312576,0.7218559,-1.107692,-0.7365079,0.6886447,23.5803,0.2191,-1.2186568,-0.685323664,0.654456752,0.22256,-0.006447,0.0765812,-0.042002448,1.497884167,0.2348
840662,18690,200,-1.107692,-0.7365079,0.6886447,-0.918193,-1.278633,1.543346,23.7994,0.2191,-1.14383388,-0.674969574,0.650744892,0.22246,0.07482292,0.01035409,-0.00371186,2.204517546,0.2191
840863,18891,201,-0.918193,-1.278633,1.543346,-1.3558,-0.5616606,0.06153846,24.0196,0.2202,-1.18017088,-0.660317574,0.633357832,0.22262,-0.036337,0.014652,-0.01738706,1.468823765,0.2191
841063,19091,200,-1.3558,-0.5616606,0.06153846,-0.7980464,0.03321123,0.2383394,24.2387,0.2191,-1.21279608,-0.724200394,0.648009852,0.2232,-0.0326252,-0.06388282,0.01465202,0.833538669,0.2202
